CustomerID,StartDate,EndDate,PlanType,MonthlyRevenue,CustomerSegment,MonthlyLogins,SupportTickets,SatisfactionScore,Churn,ChurnReason
CUST1000,2023-02-15,2023-12-11,Basic,10,Student,41,3,1,1,High Price
CUST1001,2023-01-19,,Standard,25,Student,111,11,3,0,Active
CUST1002,2023-10-09,,Basic,10,Business,51,1,4,0,Active
CUST1003,2023-01-13,2023-10-25,Basic,10,Business,119,5,4,1,Switched Competitor
CUST1004,2023-08-07,2024-06-20,Basic,10,Student,5,10,1,1,Low Usage
CUST1005,2023-01-02,2023-11-24,Basic,10,Student,10,1,3,1,High Price
CUST1006,2023-09-20,2023-11-09,Basic,10,Student,1,1,5,1,Poor Service
CUST1007,2023-05-09,,Basic,10,Working Professional,91,7,1,0,Active
CUST1008,2023-05-03,,Basic,10,Business,22,1,1,0,Active
CUST1009,2023-02-14,,Standard,25,Working Professional,75,2,3,0,Active
CUST1010,2023-06-16,2023-10-22,Basic,10,Business,22,6,2,1,High Price
CUST1011,2023-10-03,,Standard,25,Student,119,0,3,0,Active
CUST1012,2023-03-06,2023-07-11,Basic,10,Working Professional,34,7,5,1,Switched Competitor
CUST1013,2023-03-01,2023-09-11,Premium,50,Working Professional,39,7,3,1,High Price
CUST1014,2023-09-05,2024-07-14,Basic,10,Working Professional,38,4,1,1,Low Usage
CUST1015,2023-08-02,,Standard,25,Working Professional,44,3,4,0,Active
CUST1016,2023-12-20,,Basic,10,Working Professional,104,11,5,0,Active
CUST1017,2023-07-21,,Standard,25,Business,34,2,1,0,Active
CUST1018,2023-06-27,,Basic,10,Business,96,7,3,0,Active
CUST1019,2023-07-23,2023-09-20,Basic,10,Student,42,8,2,1,Poor Service
CUST1020,2023-02-04,2023-05-01,Premium,50,Working Professional,72,5,1,1,Switched Competitor
CUST1021,2023-03-17,2023-11-21,Premium,50,Student,70,2,2,1,Low Usage
CUST1022,2023-06-16,2024-01-20,Basic,10,Business,71,4,5,1,High Price
CUST1023,2023-08-31,2024-07-31,Standard,25,Business,24,9,1,1,Low Usage
CUST1024,2023-11-16,,Premium,50,Working Professional,87,2,4,0,Active
CUST1025,2023-05-23,,Premium,50,Working Professional,107,2,2,0,Active
CUST1026,2023-05-07,,Basic,10,Business,40,3,5,0,Active
CUST1027,2023-04-04,2023-12-28,Basic,10,Student,32,5,3,1,Switched Competitor
CUST1028,2023-01-24,2023-09-28,Basic,10,Student,38,9,5,1,High Price
CUST1029,2023-11-27,2024-11-26,Premium,50,Working Professional,39,6,2,1,Low Usage
CUST1030,2023-07-18,,Basic,10,Student,57,4,1,0,Active
CUST1031,2023-07-28,,Basic,10,Working Professional,88,11,2,0,Active
CUST1032,2023-09-06,,Premium,50,Working Professional,29,11,3,0,Active
CUST1033,2023-11-22,2024-07-01,Standard,25,Student,37,9,4,1,Poor Service
CUST1034,2023-08-05,,Standard,25,Student,67,0,3,0,Active
CUST1035,2023-02-02,2024-01-29,Basic,10,Student,11,2,1,1,Poor Service
CUST1036,2023-06-01,,Standard,25,Business,85,8,4,0,Active
CUST1037,2023-09-08,,Premium,50,Business,1,3,4,0,Active
CUST1038,2023-04-03,2024-02-15,Basic,10,Student,17,10,5,1,High Price
CUST1039,2023-10-13,2024-08-02,Standard,25,Business,31,7,2,1,Switched Competitor
CUST1040,2023-08-04,2024-02-05,Premium,50,Student,4,3,1,1,Poor Service
CUST1041,2023-12-16,2024-08-06,Standard,25,Business,79,9,4,1,Switched Competitor
CUST1042,2023-04-29,2023-12-27,Basic,10,Student,109,11,2,1,High Price
CUST1043,2023-12-05,2024-02-22,Standard,25,Student,60,2,2,1,Low Usage
CUST1044,2023-03-04,2023-07-14,Basic,10,Student,54,3,2,1,Low Usage
CUST1045,2023-03-13,2023-11-26,Basic,10,Working Professional,113,8,1,1,Low Usage
CUST1046,2023-12-17,,Premium,50,Student,116,8,3,0,Active
CUST1047,2023-04-28,2023-09-24,Basic,10,Business,119,0,2,1,Switched Competitor
CUST1048,2023-07-29,2024-05-01,Basic,10,Business,70,2,5,1,High Price
CUST1049,2023-03-24,,Basic,10,Student,50,6,4,0,Active
CUST1050,2023-09-04,2024-07-29,Basic,10,Business,75,10,5,1,Switched Competitor
CUST1051,2023-01-01,,Standard,25,Business,108,8,2,0,Active
CUST1052,2023-07-24,,Basic,10,Working Professional,47,3,3,0,Active
CUST1053,2023-01-02,,Basic,10,Student,28,6,4,0,Active
CUST1054,2023-06-21,2024-06-14,Basic,10,Student,34,10,2,1,High Price
CUST1055,2023-01-14,,Basic,10,Student,73,11,4,0,Active
CUST1056,2023-06-27,,Standard,25,Student,69,4,3,0,Active
CUST1057,2023-05-07,,Basic,10,Student,40,9,5,0,Active
CUST1058,2023-06-23,2023-08-12,Standard,25,Student,33,7,2,1,Poor Service
CUST1059,2023-09-15,,Standard,25,Business,112,6,4,0,Active
CUST1060,2023-02-21,,Basic,10,Working Professional,98,3,1,0,Active
CUST1061,2023-09-14,,Basic,10,Working Professional,8,2,3,0,Active
CUST1062,2023-04-09,,Standard,25,Working Professional,34,9,5,0,Active
CUST1063,2023-10-11,2024-03-16,Basic,10,Student,63,10,1,1,High Price
CUST1064,2023-05-02,2024-03-16,Basic,10,Student,15,11,3,1,Low Usage
CUST1065,2023-02-25,2024-01-30,Standard,25,Business,78,1,4,1,High Price
CUST1066,2023-02-13,2023-04-22,Standard,25,Business,44,5,2,1,Low Usage
CUST1067,2023-06-25,2024-01-19,Standard,25,Business,62,5,4,1,High Price
CUST1068,2023-06-19,,Premium,50,Business,86,10,1,0,Active
CUST1069,2023-03-12,,Standard,25,Business,37,6,3,0,Active
CUST1070,2023-10-07,2024-05-21,Premium,50,Business,13,9,1,1,Switched Competitor
CUST1071,2023-11-11,,Basic,10,Business,54,4,5,0,Active
CUST1072,2023-06-30,,Basic,10,Business,119,6,5,0,Active
CUST1073,2023-07-20,,Premium,50,Student,27,7,4,0,Active
CUST1074,2023-04-03,,Basic,10,Business,83,11,5,0,Active
CUST1075,2023-03-16,2023-10-30,Basic,10,Working Professional,102,8,3,1,Low Usage
CUST1076,2023-10-17,,Premium,50,Business,100,5,3,0,Active
CUST1077,2023-11-30,2024-04-05,Basic,10,Working Professional,13,7,3,1,High Price
CUST1078,2023-09-11,2024-05-01,Standard,25,Business,106,2,1,1,High Price
CUST1079,2023-10-24,2024-06-07,Standard,25,Business,100,10,2,1,Low Usage
CUST1080,2023-02-26,,Premium,50,Working Professional,26,5,2,0,Active
CUST1081,2023-09-13,,Standard,25,Student,102,3,3,0,Active
CUST1082,2023-01-15,,Standard,25,Student,2,4,2,0,Active
CUST1083,2023-05-19,2024-04-11,Basic,10,Working Professional,109,11,1,1,Poor Service
CUST1084,2023-09-19,2024-09-08,Basic,10,Working Professional,42,5,2,1,Switched Competitor
CUST1085,2023-10-05,2024-08-01,Premium,50,Business,108,9,4,1,Switched Competitor
